Pozicija,link,konkurs,aplicirao
Tech Lead,https://poslovi.infostud.com/posao/Tech-Lead/TX-Services/329018?esource=search&emedium=2&item_index=23,https://poslovi.infostud.com/konkurs/329018,
Business Development Manager (IT),https://poslovi.infostud.com/posao/Business-Development-Manager-IT/Citrus-Systems/328706?esource=search&emedium=2&item_index=24,https://poslovi.infostud.com/konkurs/328706,
Senior Java Engineer,https://poslovi.infostud.com/posao/Senior-Java-Engineer/Daon/328422?esource=search&emedium=2&item_index=25,https://poslovi.infostud.com/konkurs/328422,
Front End Developer,https://poslovi.infostud.com/posao/Front-End-Developer/Daon/328418?esource=search&emedium=2&item_index=26,https://poslovi.infostud.com/konkurs/328418,
Koordinator finansijskog kontrolinga i izveštavanja,https://poslovi.infostud.com/posao/Koordinator-finansijskog-kontrolinga-i-izvestavanja/Roaming-Networks-d.o.o./332261?esource=search&emedium=2&item_index=27,https://poslovi.infostud.com/konkurs/332261,
Mlađi saradnik/ca za bezbednost informacija,https://poslovi.infostud.com/posao/Mladji-saradnikca-za-bezbednost-informacija/Raiffeisen-banka-a.d./332251?esource=search&emedium=2&item_index=28,https://poslovi.infostud.com/konkurs/332251,
Referent za finansijsko-knjigovodstvene poslove,https://poslovi.infostud.com/posao/Referent-za-finansijsko-knjigovodstvene-poslove/Kids-Beba-d.o.o./332277?esource=search&emedium=2&item_index=29,https://poslovi.infostud.com/konkurs/332277,
Agent prodaje bankarskih proizvoda u maloprodajnim objektima partnera banke,https://poslovi.infostud.com/posao/Agent-prodaje-bankarskih-proizvoda-u-maloprodajnim-objektima-partnera-banke/Eurobank-a.d./332273?esource=search&emedium=2&item_index=30,https://poslovi.infostud.com/konkurs/332273,
Vaspitač,https://poslovi.infostud.com/posao/Vaspitac/PPU-Lavic/332256?esource=search&emedium=2&item_index=31,https://poslovi.infostud.com/konkurs/332256,
Full Stack (Java) Developer,https://poslovi.infostud.com/posao/Full-Stack-Java-Developer/Prodyna/332292?esource=search&emedium=2&item_index=32,https://poslovi.infostud.com/konkurs/332292,
