Pozicija,link,konkurs
Customer Service Supervisor (French),https://poslovi.infostud.com/posao/Customer-Service-Supervisor-French/Workforce/331997?esource=search&emedium=3&item_index=10,https://poslovi.infostud.com/konkurs/331997
Customer Service Supervisor (German),https://poslovi.infostud.com/posao/Customer-Service-Supervisor-German/Workforce/331996?esource=search&emedium=3&item_index=11,https://poslovi.infostud.com/konkurs/331996
Senior Graphic Designer,https://poslovi.infostud.com/posao/Senior-Graphic-Designer/Only-human-d.o.o./332052?esource=search&emedium=3&item_index=12,https://poslovi.infostud.com/konkurs/332052
.NET Developer/Database Administrator - Full Stack,https://poslovi.infostud.com/posao/.NET-DeveloperDatabase-Administrator-Full-Stack/Eki-Transfers-d.o.o./332043?esource=search&emedium=3&item_index=13,https://poslovi.infostud.com/konkurs/332043
Diplomirani farmaceut,https://poslovi.infostud.com/posao/Diplomirani-farmaceut/Apotekarska-ustanova-Lilly-drogerie/331985?esource=search&emedium=3&item_index=14,https://poslovi.infostud.com/konkurs/331985
Medical Representative,https://poslovi.infostud.com/posao/Medical-Representative/Bio-Save-d.o.o./331908?esource=search&emedium=3&item_index=15,https://poslovi.infostud.com/konkurs/331908
Rad od kuće - Savetnik za korisničku podršku na holandskom jeziku,https://poslovi.infostud.com/posao/Rad-od-kuce-Savetnik-za-korisnicku-podrsku-na-holandskom-jeziku/Sitel-SBA-d.o.o./331904?esource=search&emedium=3&item_index=16,https://poslovi.infostud.com/konkurs/331904
Project Manager,https://poslovi.infostud.com/posao/Project-Manager/TNation/331903?esource=search&emedium=3&item_index=17,https://poslovi.infostud.com/konkurs/331903
Subject Matter Expert – Proposals (Media Planning),https://poslovi.infostud.com/posao/Subject-Matter-Expert-Proposals-Media-Planning/AX-Services/331939?esource=search&emedium=3&item_index=18,https://poslovi.infostud.com/konkurs/331939
Subject Matter Expert – Programmatic (Media Planning),https://poslovi.infostud.com/posao/Subject-Matter-Expert-Programmatic-Media-Planning/AX-Services/331938?esource=search&emedium=3&item_index=19,https://poslovi.infostud.com/konkurs/331938
Technical Project Manager (Product),https://poslovi.infostud.com/posao/Technical-Project-Manager-Product/AX-Services/331937?esource=search&emedium=3&item_index=20,https://poslovi.infostud.com/konkurs/331937
Head of Global Quality GDP,https://poslovi.infostud.com/posao/Head-of-Global-Quality-GDP/Hemofarm-a.d./331936?esource=search&emedium=3&item_index=21,https://poslovi.infostud.com/konkurs/331936
Call Operater,https://poslovi.infostud.com/posao/Call-Operater/Nika-Home-Line/331947?esource=search&emedium=3&item_index=22,https://poslovi.infostud.com/konkurs/331947
Senior Network Engineer,https://poslovi.infostud.com/posao/Senior-Network-Engineer/Hentsu-d.o.o./331944?esource=search&emedium=3&item_index=23,https://poslovi.infostud.com/konkurs/331944
Mid/Senior .Net Developer,https://poslovi.infostud.com/posao/MidSenior-.Net-Developer/Docloop-d.o.o./331899?esource=search&emedium=3&item_index=24,https://poslovi.infostud.com/konkurs/331899
Senior .NET Software Developer,https://poslovi.infostud.com/posao/Senior-.NET-Software-Developer/sTech-d.o.o./331898?esource=search&emedium=3&item_index=25,https://poslovi.infostud.com/konkurs/331898
